MeSH,PMID,abstract,title,drug
[],28352212,"deciding on an optimal medication choice for type 2 diabetes is often challenging, due to the increasing number of treatment options. canagliflozin is a novel glucose lowering agent belonging to sodium glucose co transporter 2 (sglt2) inhibitors.
the aim of this study was to examine and summarize the evidence based on the efficacy, safety, and cost effectiveness of canagliflozin for type 2 diabetes.
compared to placebo, canagliflozin 100 and 300 mg lower glycated hemoglobin (hba1c) by ~0.6% 0.8%, respectively. canagliflozin appears to be slightly more effective than dipeptidyl peptidase 4 (dpp 4) inhibitors in reducing hba1c. it also has a favorable effect on body weight and blood pressure, both versus placebo and most active comparators. however, treatment with canagliflozin is associated with increased incidence of genital tract infections and osmotic diuresis related adverse events. based on short term data, canagliflozin is not associated with increased risk for all cause mortality and cardiovascular outcomes. economic evaluation studies from various countries indicate that canagliflozin is a cost effective option in dual  or triple agent regimens.
as monotherapy, canagliflozin could be used in patients for whom metformin is contraindicated or not tolerated. for patients on background treatment with metformin, canagliflozin appears to be superior to sulfonylureas with respect to body weight, blood pressure and risk for hypoglycemia, and to dpp 4 inhibitors in terms of lowering hba1c, body weight, and blood pressure. canagliflozin also seems to be cost effective compared with sulfonylureas and dpp 4 inhibitors as add on to metformin monotherapy, and compared with dpp 4 inhibitors as add on to metformin and sulfonylurea.
current evidence on intermediate efficacy outcomes, short term safety and cost effectiveness support the use of canagliflozin in patients on background treatment with metformin. robust long term data regarding the effect of canagliflozin on cardiovascular endpoints will be available upon completion of the canagliflozin cardiovascular assessment study (canvas) trial.",Canagliflozin in the treatment of type 2 diabetes: an evidence-based review of its place in therapy.,Canagliflozin
[],26150733,"canagliflozin metformin is one of the newest combination therapies available for the treatment of type 2 diabetes mellitus (t2dm). canagliflozin is an inhibitor of the sodium glucose co transporter 2 which causes an increase in the urinary excretion of glucose. in the present article, we review the safety and efficacy of canagliflozin and metformin from data obtained from phase iii metformin add on therapy clinical trials as there are no studies to date that specifically evaluate the combination of metformin and canagliflozin. trials included in this review were dual therapy trials of subjects who were already taking background metformin and were assigned to receive canagliflozin, glimepiride, or sitagliptin. the addition of canagliflozin to metformin resulted in a decrease in hba1c of 0.73% 0.93%. canagliflozin 100 mg was considered to be non inferior to glimepiride and sitagliptin 100 mg with the canagliflozin 300 mg dose being statistically superior to sitagliptin and glimepiride. other advantages of the use of canagliflozin are reduction in weight (3.3 4.0 kg) and systolic blood pressure (3.3 4.7 mmhg). the primary disadvantages are potential genital mycotic infections, hypotension, and gastrointestinal side effects from metformin. all things considered, this combination appears to be safe and effective in clinical trials and represents a promising option for the treatment of t2dm. ",Fixed-dose combinations in type 2 diabetes - role of the canagliflozin metformin combination.,Canagliflozin
[],30787627,"canagliflozin is a sodium glucose cotransporter (sglt) receptor inhibitor approved for the treatment of type 2 diabetes mellitus (t2dm). this article reviews the mechanism of action of sglt 2 receptor inhibitors and the efficacy of canagliflozin as an antidiabetic agent, its cardiovascular and renal benefits, and safety profile. during the development of canagliflozin, phase ii trials showed an improvement in cardiac and renal biomarkers such as blood pressure, body weight, and albuminuria. the large canvas program showed that canagliflozin reduced the composite cardiovascular outcome of cardiovascular death, nonfatal myocardial infarction, or nonfatal stroke. the canvas program also showed a possible benefit of canagliflozin on a renal composite of sustained 40% reduction in estimated glomerular filtration rate, the need for renal replacement therapy, or death from renal causes. the safety profile of canagliflozin has been well characterized, and known side effects such as mycotic genital infections were confirmed in canvas. however, an increased risk of amputations was observed in canvas that requires further study. overall, canagliflozin is an effective antidiabetic medication with cardiovascular and likely renal benefits, and with a generally well tolerated safety profile. results from the credence trial will further evaluate the safety and potential renal benefits of canagliflozin in patients with established diabetic nephropathy.",Canagliflozin review - safety and efficacy profile in patients with T2DM.,Canagliflozin
[],30992077,"the sodium glucose cotransporter 2 (sglt2) inhibitor canagliflozin has been shown to reduce major cardiovascular events in type 2 diabetic patients, with a pronounced decrease in hospitalization for heart failure (hf) especially in those with hf at baseline. these might indicate a potent direct cardioprotective effect, which is currently incompletely understood. we sought to characterize the cardiovascular effects of acute canagliflozin treatment in healthy and infarcted rat hearts.
non diabetic male rats were subjected to sham operation or coronary artery occlusion for 30 min, followed by 120 min reperfusion in vivo. vehicle or canagliflozin (3 µg/kg bodyweight) was administered as an intravenous bolus 5 min after the onset of ischemia. rats underwent either infarct size determination with serum troponin t measurement, or functional assessment using left ventricular (lv) pressure volume analysis. protein, mrna expressions, and 4 hydroxynonenal (hne) content of myocardial samples from sham operated and infarcted rats were investigated. in vitro organ bath experiments with aortic rings from healthy rats were performed to characterize a possible effect of canagliflozin on vascular function.
acute treatment with canagliflozin significantly reduced myocardial infarct size compared to vehicle (42.5 ± 2.9% vs. 59.3 ± 4.2%, p = 0.006), as well as serum troponin t levels. canagliflozin therapy alleviated lv systolic and diastolic dysfunction following myocardial ischemia reperfusion injury (iri), and preserved lv mechanoenergetics. western blot analysis revealed an increased phosphorylation of adenosine monophosphate activated protein kinase (ampk) and endothelial nitric oxide synthase (enos), which were not disease specific effects. canagliflozin elevated the phosphorylation of akt only in infarcted hearts. furthermore, canagliflozin reduced the expression of apoptotic markers (bax/bcl 2 ratio) and that of genes related to myocardial nitro oxidative stress. in addition, treated hearts showed significantly lower hne positivity. organ bath experiments with aortic rings revealed that preincubation with canagliflozin significantly enhanced endothelium dependent vasodilation in vitro, which might explain the slight lv afterload reducing effect of canagliflozin in healthy rats in vivo.
acute intravenous administration of canagliflozin after the onset of ischemia protects against myocardial iri. the medication enhances endothelium dependent vasodilation independently of antidiabetic action. these findings might further contribute to our understanding of the cardiovascular protective effects of canagliflozin reported in clinical trials.",Acute canagliflozin treatment protects against in vivo myocardial ischemia-reperfusion injury in non-diabetic male rats and enhances endothelium-dependent vasorelaxation.,Canagliflozin
[],31001673,"the sodium glucose cotransporter 2 (sglt2) inhibitor canagliflozin slows progression of kidney function decline in type 2 diabetes. the aim of this study was to assess the effect of the sglt2 inhibitor canagliflozin on biomarkers for progression of diabetic kidney disease (dkd).
a canagliflozin mechanism of action (moa) network model was constructed based on an in vitro transcriptomics experiment in human proximal tubular cells and molecular features linked to sglt2 inhibitors from scientific literature. this model was mapped onto an established dkd network model that describes molecular processes associated with dkd. overlapping areas in both networks were subsequently used to select candidate biomarkers that change with canagliflozin therapy. these biomarkers were measured in 296 stored plasma samples from a previously reported 2 year clinical trial comparing canagliflozin with glimepiride.
forty four proteins present in the canagliflozin moa molecular model overlapped with proteins in the dkd network model. these proteins were considered candidates for monitoring impact of canagliflozin on dkd pathophysiology. for ten of these proteins, scientific evidence was available suggesting that they are involved in dkd progression. of these, compared with glimepiride, canagliflozin 300 mg/day decreased plasma levels of tnf receptor 1 (tnfr1; 9.2%; p < 0.001), il 6 (26.6%; p = 0.010), matrix metalloproteinase 7 (mmp7; 24.9%; p = 0.011) and fibronectin 1 (fn1; 14.9%; p = 0.055) during 2 years of follow up.
the observed reduction in tnfr1, il 6, mmp7 and fn1 suggests that canagliflozin contributes to reversing molecular processes related to inflammation, extracellular matrix turnover and fibrosis. trial registration clinicaltrials.gov nct00968812.",Canagliflozin reduces inflammation and fibrosis biomarkers: a potential mechanism of action for beneficial effects of SGLT2 inhibitors in diabetic kidney disease.,Canagliflozin
"['Adult', 'Aged', 'Benzhydryl Compounds', 'pharmacokinetics', 'therapeutic use', 'Blood Glucose', 'drug effects', 'Body Weight', 'Canagliflozin', 'Cross-Over Studies', 'Double-Blind Method', 'Drug Administration Schedule', 'Female', 'Glomerular Filtration Rate', 'Glucose', 'metabolism', 'Glucosides', 'pharmacokinetics', 'therapeutic use', 'Humans', 'Hypoglycemic Agents', 'pharmacokinetics', 'therapeutic use', 'Kidney', 'metabolism', 'Male', 'Middle Aged', 'Postprandial Period', 'Thiophenes', 'pharmacokinetics', 'therapeutic use']",25421015,"to compare the pharmacodynamic effects of the highest approved doses of the sodium glucose co transporter 2 (sglt2) inhibitors canagliflozin and dapagliflozin on urinary glucose excretion (uge), renal threshold for glucose excretion (rtg ) and postprandial plasma glucose (ppg) excursion in healthy participants in a randomized, double blind, two period crossover study.
in each treatment period, participants (n = 54) received canagliflozin 300 mg or dapagliflozin 10 mg for 4 days (20 min before breakfast). a mixed meal tolerance test (600 kcal; 75 g glucose) was performed at baseline and on day 4 of each treatment period to assess changes in incremental ppg (ppgδauc0 2 h ). we measured 24 h uge and plasma glucose on day 4 to determine 24 h mean rtg .
canagliflozin 300 mg and dapagliflozin 10 mg had similar effects on uge and rtg for 4 h after dosing, but canagliflozin was associated with higher uge and greater rtg reductions for the remainder of the day. mean 24 h uge was ∼25% higher with canagliflozin than with dapagliflozin (51.4 vs. 40.8 g), and 24 h mean rtg was ∼0.4 mmol/l (7 mg/dl) lower with canagliflozin than with dapagliflozin (3.79 vs. 4.17 mmol/l; p < 0.0001). dapagliflozin had no effect on ppg excursion; canagliflozin delayed and reduced ppg excursion (between treatment difference in ppgδauc0 2 h from baseline expressed as a percentage of baseline mean,  10.2%; p = 0.0122). canagliflozin and dapagliflozin were generally well tolerated.
in healthy participants, canagliflozin 300 mg provided greater 24 h uge, a lower rtg and smaller ppg excursions than dapagliflozin 10 mg.","Pharmacodynamic differences between canagliflozin and dapagliflozin: results of a randomized, double-blind, crossover study.",Canagliflozin
[],31074205,"the aim of this study was to evaluate the efficacy of canagliflozin in reducing the required insulin dose and the risk of hypoglycemia in type 2 diabetes (t2d). this study was conducted in patients with t2d treated with insulin. they were randomly assigned to the control (n=17) and canagliflozin (n=17, plus 100 mg/day canagliflozin) groups. in both groups, a defined insulin dose adjustment protocol was applied to achieve the same level of glycemic control. the change from baseline in daily insulin dose was significantly smaller in the canagliflozin group (3.9 units/day) than control group (13.4 units/day; p = 0.040). low blood glucose index (lbgi) and predicted % of blood glucose (bg) <70 mg/dl, which are hypoglycemia related parameters, worsened significantly in the control group but both remained unchanged in the canagliflozin group. the standard deviation (sd) for nighttime bg levels improved significantly only in the canagliflozin group. supplementation of insulin therapy with 100 mg canagliflozin in patients with t2d reduced the required insulin dose and hypoglycemic risk and flattened nighttime glycemic fluctuations while maintaining the same level of glycemic control. this article is protected by copyright. all rights reserved.",Addition of canagliflozin to insulin improves glycemic control and reduces insulin dose in patients with type 2 diabetes mellitus: a randomized controlled trial.,Canagliflozin
"['Adult', 'Aged', 'Aged, 80 and over', 'Body Weight', 'Canagliflozin', 'therapeutic use', 'Diabetes Mellitus, Type 2', 'drug therapy', 'Drug Therapy, Combination', 'Humans', 'Hypoglycemic Agents', 'therapeutic use', 'Middle Aged', 'Randomized Controlled Trials as Topic', 'Treatment Outcome']",27330722,"canagliflozin has been proposed as an effective treatment for type 2 diabetes. this meta analysis of randomized control trials aimed to evaluate the effect of canagliflozin combined with other hypoglycemic drugs.
we searched medline, embase, cochrane library, google scholar and clinicaltrials.gov for randomized control trials comparing canagliflozin combined with conventional antidiabetic drugs vs placebo. our main end points were glycemic control and change in weight. we assessed pooled data by use of a random effects model.
of 161 identified studies, six were eligible and were included in our analysis (n = 4670 participants). compared with the placebo, mean changes in glycosylated hemoglobin were  0.60% (95% confidence interval  0.67 to  0.54%; i (2) = 0%) for canagliflozin 100 mg, and  0.76% (95% confidence interval  0.84 to  0.68%; i (2) = 20%) for canagliflozin 300 mg with bodyweight loss.
canagliflozin as an add on drug to other antidiabetic drugs effectively lowers blood glucose without significant weight gain.",Efficacy of canagliflozin combined with antidiabetic drugs in treating type 2 diabetes mellitus: Meta-analysis of randomized control trials.,Canagliflozin
[],30447037,"to evaluate the impact of the sodium glucose co transporter 2 inhibitor canagliflozin on intrahepatic triglyceride (ihtg) accumulation and its relationship to changes in body weight and glucose metabolism.
in this double blind, parallel group, placebo controlled, 24 week trial subjects with inadequately controlled type 2 diabetes mellitus (t2dm; hba1c = 7.7% ± 0.7%) from two centres were randomly assigned (1:1) to canagliflozin 300 mg or placebo. we measured ihtg by proton magnetic resonance spectroscopy (primary outcome), hepatic/muscle/adipose tissue insulin sensitivity during a 2 step euglycaemic insulin clamp, and beta cell function during a mixed meal tolerance test. analyses were per protocol.
between 8 september 2014 13 june 2016, 56 patients were enrolled. canagliflozin reduced hba1c (placebo subtracted change:  0.71% [ 1.08;  0.33]) and body weight ( 3.4% [ 5.4;  1.4]; both p ≤ 0.001). a numerically larger absolute decrease in ihtg occurred with canagliflozin ( 4.6% [ 6.4;  2.7]) versus placebo ( 2.4% [ 4.2;  0.6]; p = 0.09). in patients with non alcoholic fatty liver disease (n = 37), the decrease in ihtg was  6.9% ( 9.5;  4.2) versus  3.8% ( 6.3;  1.3; p = 0.05), and strongly correlated with the magnitude of weight loss (r = 0.69, p < 0.001). body weight loss ≥5% with a ≥30% relative reduction in ihtg occurred more often with canagliflozin (38% vs. 7%, p = 0.009). hepatic insulin sensitivity improved with canagliflozin (p < 0.01), but not muscle or adipose tissue insulin sensitivity. beta cell glucose sensitivity, insulin clearance, and disposition index improved more with canagliflozin (p < 0.05).
canagliflozin improves hepatic insulin sensitivity and insulin secretion and clearance in patients with t2dm. ihtg decreases in proportion to the magnitude of body weight loss, which tended to be greater and occur more often with canagliflozin.",Effect of canagliflozin treatment on hepatic triglyceride content and glucose metabolism in patients with type 2 diabetes.,Canagliflozin
[],27734320,"metformin is typically the first pharmacologic treatment recommended for type 2 diabetes mellitus (t2dm), but many patients do not achieve glycemic control with metformin alone and eventually require combination therapy with other agents. canagliflozin, a sodium glucose co transporter 2 (sglt2) inhibitor, was assessed in a comprehensive phase 3 clinical development program consisting of ~10,000 participants, of which ~80% were on background therapy that consisted of metformin alone or in combination with other antihyperglycemic agents (ahas; e.g., pioglitazone, sulfonylurea, and insulin). in addition, the efficacy and safety of canagliflozin and metformin as the initial combination therapy and canagliflozin monotherapy were assessed versus metformin in treatment naïve patients with t2dm. across studies in patients with t2dm who were on metformin alone or in combination with other ahas, canagliflozin 100 and 300 mg provided improvements in glycated hemoglobin for up to 104 weeks. canagliflozin was also associated with reductions in body weight and systolic blood pressure when added to background therapy consisting of metformin alone or with other ahas. canagliflozin was generally well tolerated, with increased incidence of adverse events (aes) related to the mechanism of sglt2 inhibition (i.e., genital mycotic infections, urinary tract infections, and osmotic diuresis related aes). consistent with its insulin independent mechanism of action, canagliflozin was associated with low rates of hypoglycemia when background therapy did not include sulfonylurea or insulin. due to its favorable efficacy and safety profile, these results suggest that adding canagliflozin to a background regimen consisting of metformin or implementing treatment with a fixed dose regimen of canagliflozin and metformin would provide an effective and safe treatment regimen for t2dm management.
janssen global services, llc.",Canagliflozin: Efficacy and Safety in Combination with Metformin Alone or with Other Antihyperglycemic Agents in Type 2 Diabetes.,Canagliflozin
"['Animals', 'Disease Models, Animal', 'Exenatide', 'pharmacology', 'Hypoglycemic Agents', 'pharmacology', 'Liver', 'blood supply', 'Male', 'Nanoparticles', 'Pancreatic Diseases', 'drug therapy', 'etiology', 'pathology', 'Rats', 'Rats, Sprague-Dawley', 'Reperfusion Injury', 'complications', 'drug therapy', 'pathology']",30979489,"hepatic ischemia/reperfusion induced pancreatic injury (hi/rpi) is an important pathophysiological phenomenon in clinics. exenatide is found to have hepatopancreatic protection; however, the half life of exenatide is extremely short, which limits its clinical application. in the present study, we described an exenatide nanocarrier based on poly(l lysine) poly(ethylene glycol) poly(l lysine) (pll peg pll) and aimed to investigate the protective effects of exenatide/pll peg pll on hi/rpi.
pll peg pll was synthesized and estimated by being applied as a nanocarrier for lengthening delivery of exenatide. exenatide was loaded into pll peg pll by electrostatic interactions at ph 7.4. the loading and release of exenatide from pll peg pll were characterized in vitro. the pancreatic protection of exenatide/pll peg pll was assessed using the animal model, histopathological examination, blood biochemical indices detection, antioxidant activity, and anti inflammatory evaluation in vivo.
exenatide/pll peg pll displayed efficient loading and sustained release. exenatide/pll peg pll complex moderated hi/rpi and enlarged islet functionality compared to free exenatide.
we propose that the nanocarrier pll peg pll may function as a potent exenatide nanocarrier for augmenting anti hi/rpi pharmacotherapy with unprecedented clinical benefits.",Pharmacological Signatures of the Exenatide Nanoparticles Against Hepatic Ischemia/Reperfusion-induced Pancreatic Injury.,Exenatide
[],31077072,"glucagon like peptide 1 receptor agonists (glp 1ras) are widely used for treatment of type 2 diabetes mellitus; however, there have been concerns that glp 1ra treatment may be associated with an increased incidence of pancreatitis. this study aimed to evaluate the incidence of pancreatitis in a pooled population of type 2 diabetes trials from the clinical development program of the glp 1ra exenatide as well as to describe patient level data for all reported cases.
the primary analysis examined pooled data among patients with type 2 diabetes from the controlled arms of 35 trials (ranging from 4 to 234 weeks' duration) in the integrated clinical databases for exenatide twice daily, once weekly, and once weekly suspension, excluding comparator arms with other incretin based therapies. the exposure adjusted incidence rate (eair) of pancreatitis was calculated for exenatide and non exenatide (non incretin based therapy or placebo) treatment groups. patient level data were described for all pancreatitis incidences.
the primary analysis included 5596 patients who received exenatide and 4462 in the non exenatide group. the mean duration of study medication exposure for the exenatide and non exenatide treatment groups was 57.0 and 47.9 weeks, respectively. pancreatitis was diagnosed in 14 patients (exenatide, n = 8; non exenatide, n = 6), of whom 13 recovered with or without sequelae. the pancreatitis eair was 0.1195 events per 100 patient years [95% confidence interval (ci), 0.0516 0.2154] in the exenatide group versus 0.1276 events per 100 patient years (95% ci 0.0468 0.2482) in the non exenatide treatment group. the eair ratio for the exenatide versus non exenatide treatment group was 0.761 (95% ci 0.231 2.510).
in this pooled analysis of 10,058 patients among studies comparing exenatide with other glucose lowering medications or placebo, pancreatitis was rare. the eairs of pancreatitis were low and similar between exenatide and non exenatide treatment groups. no evidence of an association between exenatide and pancreatitis was observed.
bristol myers squibb and astrazeneca. plain language summary available for this article.","Pancreatitis Incidence in the Exenatide BID, Exenatide QW, and Exenatide QW Suspension Development Programs: Pooled Analysis of 35 Clinical Trials.",Exenatide
"['Animals', 'Clinical Trials as Topic', 'Diabetes Mellitus, Type 2', 'blood', 'drug therapy', 'Drug Tolerance', 'Exenatide', 'Glycated Hemoglobin A', 'metabolism', 'Humans', 'Peptides', 'administration & dosage', 'chemistry', 'pharmacology', 'therapeutic use', 'Treatment Outcome', 'Venoms', 'administration & dosage', 'chemistry', 'pharmacology', 'therapeutic use']",19243286,"exenatide is the first glucagon like peptide 1 (glp 1) receptor agonist approved for the treatment of type 2 diabetes mellitus (t2dm). exenatide lowers blood glucose through multiple mechanisms, including enhancement of glucose dependent insulin secretion, suppression of excess glucagon secretion, reduction of food intake and slowing of gastric emptying. the current formulation of exenatide requires twice daily dosing (exenatide bid), and an extended release formulation of exenatide is now in development for use as a once weekly injection (exenatide qw). the purpose of this report is to review the most current clinical data on the development of exenatide qw for the treatment of t2dm. in clinical trials, exenatide qw significantly improved glycemic control, resulted in patient weight loss, and was well tolerated in patients with t2dm. in a head to head clinical trial, exenatide qw caused greater improvements in glycemic control and was better tolerated than exenatide bid. given the rapidly increasing prevalence of diabetes and obesity worldwide, exenatide qw is a promising development candidate for the treatment of t2dm.",Exenatide once weekly for the treatment of type 2 diabetes.,Exenatide
